Alfred 
Ash
Bates 
Beast
Blade
Bones
Bram 
Casper 
Chucky 
Crow
Damien 
Draco 
Dracula
Edgar 
Freddy 
Gomez 
Hades 
Hannibal 
Hitchcock
Igor
Jack 
Jason 
Lucifer
Michael 
Norman 
Poe 
Pugsley
Rasputin
Romero 
Salem
Spike
Storm
Thorn
Tim 
Vlad 
Absinthe
Annie 
Bella 
Belladonna 
Blair 
Buffy 
Carrie
Clarice 
Crimson
Cruella
Desdemona 
Ebony
Elvira
Griselda
Hagatha
Ivy 
Lilith 
Maleficent 
Morticia 
Noire
Ophelia 
Raven
Regan 
Rosemary 
Ruby
Rue
Sabrina
Samara 
Shadow
Tabitha
Ursula 
Wednesday 
